,columns,missing values count
420,Sensor - 420,2
421,Sensor - 421,2
422,Sensor - 422,2
423,Sensor - 423,3
424,Sensor - 424,3
425,Sensor - 425,3
426,Sensor - 426,3
427,Sensor - 427,3
428,Sensor - 428,3
429,Sensor - 429,0
430,Sensor - 430,0
431,Sensor - 431,1
432,Sensor - 432,1
433,Sensor - 433,1
434,Sensor - 434,1
435,Sensor - 435,1
436,Sensor - 436,1
437,Sensor - 437,1
438,Sensor - 438,1
439,Sensor - 439,1
440,Sensor - 440,1
441,Sensor - 441,1
442,Sensor - 442,0
443,Sensor - 443,0
444,Sensor - 444,0
445,Sensor - 445,0
446,Sensor - 446,0
447,Sensor - 447,0
448,Sensor - 448,0
449,Sensor - 449,0
450,Sensor - 450,14
451,Sensor - 451,14
452,Sensor - 452,0
453,Sensor - 453,0
454,Sensor - 454,0
455,Sensor - 455,0
456,Sensor - 456,0
457,Sensor - 457,0
458,Sensor - 458,0
459,Sensor - 459,0
460,Sensor - 460,0
461,Sensor - 461,0
462,Sensor - 462,0
463,Sensor - 463,1
464,Sensor - 464,1
465,Sensor - 465,1
466,Sensor - 466,1
467,Sensor - 467,1
468,Sensor - 468,1
469,Sensor - 469,5
470,Sensor - 470,5
471,Sensor - 471,5
472,Sensor - 472,5
473,Sensor - 473,5
474,Sensor - 474,5
475,Sensor - 475,5
476,Sensor - 476,5
477,Sensor - 477,5
478,Sensor - 478,5
479,Sensor - 479,5
480,Sensor - 480,5
481,Sensor - 481,5
482,Sensor - 482,5
483,Sensor - 483,24
484,Sensor - 484,24
485,Sensor - 485,24
486,Sensor - 486,24
487,Sensor - 487,24
488,Sensor - 488,24
489,Sensor - 489,24
490,Sensor - 490,24
491,Sensor - 491,1
492,Sensor - 492,2
493,Sensor - 493,610
494,Sensor - 494,0
495,Sensor - 495,0
496,Sensor - 496,0
497,Sensor - 497,51
498,Sensor - 498,51
499,Sensor - 499,5
500,Sensor - 500,2
501,Sensor - 501,2
502,Sensor - 502,5
503,Sensor - 503,5
504,Sensor - 504,5
505,Sensor - 505,5
506,Sensor - 506,5
507,Sensor - 507,5
508,Sensor - 508,5
509,Sensor - 509,5
510,Sensor - 510,5
511,Sensor - 511,2
512,Sensor - 512,2
513,Sensor - 513,5
514,Sensor - 514,5
515,Sensor - 515,5
516,Sensor - 516,5
517,Sensor - 517,288
518,Sensor - 518,288
519,Sensor - 519,288
520,Sensor - 520,556
521,Sensor - 521,0
522,Sensor - 522,0
523,Sensor - 523,0
524,Sensor - 524,0
525,Sensor - 525,0
526,Sensor - 526,24
527,Sensor - 527,0
528,Sensor - 528,0
529,Sensor - 529,3
530,Sensor - 530,3
531,Sensor - 531,3
532,Sensor - 532,3
533,Sensor - 533,3
534,Sensor - 534,3
535,Sensor - 535,3
536,Sensor - 536,3
537,Sensor - 537,3
538,Sensor - 538,3
539,Sensor - 539,3
540,Sensor - 540,3
541,Sensor - 541,3
542,Sensor - 542,3
543,Sensor - 543,2
544,Sensor - 544,2
545,Sensor - 545,2
546,Sensor - 546,2
547,Sensor - 547,73
548,Sensor - 548,73
549,Sensor - 549,73
550,Sensor - 550,73
551,Sensor - 551,73
552,Sensor - 552,73
553,Sensor - 553,73
554,Sensor - 554,73
555,Sensor - 555,73
556,Sensor - 556,73
557,Sensor - 557,73
558,Sensor - 558,73
559,Sensor - 559,0
560,Sensor - 560,0
561,Sensor - 561,0
562,Sensor - 562,0
563,Sensor - 563,15
564,Sensor - 564,15
565,Sensor - 565,15
566,Sensor - 566,15
567,Sensor - 567,15
568,Sensor - 568,15
569,Sensor - 569,15
570,Sensor - 570,15
571,Sensor - 571,0
572,Sensor - 572,0
573,Sensor - 573,0
574,Sensor - 574,0
575,Sensor - 575,0
576,Sensor - 576,0
577,Sensor - 577,0
578,Sensor - 578,0
579,Sensor - 579,502
580,Sensor - 580,502
581,Sensor - 581,502
582,Sensor - 582,502
583,Sensor - 583,0
584,Sensor - 584,0
585,Sensor - 585,0
586,Sensor - 586,0
587,Sensor - 587,0
588,Sensor - 588,0
589,Sensor - 589,0
590,Sensor - 590,0
